qid,name,dob,league,sport,league_id,league_id_property,proof_wikidata_url,level,source
Q108054136,Kevin Hardy,1990-04-27T00:00:00Z,NFL,American football,H/HardKe01,P3561,https://www.wikidata.org/wiki/Q108054136,major,wikidata
Q108054205,Chuck Gorecki,1964-04-07T00:00:00Z,NFL,American football,G/GoreCh20,P3561,https://www.wikidata.org/wiki/Q108054205,major,wikidata
Q108054693,Holden Smith,1958-11-05T00:00:00Z,NFL,American football,S/SmitHo20,P3561,https://www.wikidata.org/wiki/Q108054693,major,wikidata
Q584174,Fred Davis,1986-01-15T00:00:00Z,NFL,American football,D/DaviFr01,P3561,https://www.wikidata.org/wiki/Q584174,major,wikidata
Q591672,Alfred Morris,1988-12-12T00:00:00Z,NFL,American football,M/MorrAl00,P3561,https://www.wikidata.org/wiki/Q591672,major,wikidata
Q1166599,Darrell Russell,1976-05-27T00:00:00Z,NFL,American football,R/RussDa00,P3561,https://www.wikidata.org/wiki/Q1166599,major,wikidata
Q1398352,Adrian Peterson,1979-07-01T00:00:00Z,NFL,American football,P/PeteAd00,P3561,https://www.wikidata.org/wiki/Q1398352,major,wikidata
Q1708426,Luke Stocker,1988-01-30T00:00:00Z,NFL,American football,S/StocLu00,P3561,https://www.wikidata.org/wiki/Q1708426,major,wikidata
Q3177405,Jerome Brown,1965-02-04T00:00:00Z,NFL,American football,B/BrowJe00,P3561,https://www.wikidata.org/wiki/Q3177405,major,wikidata
Q3178782,Jim Dooley,1930-02-08T00:00:00Z,NFL,American football,D/DoolJi00,P3561,https://www.wikidata.org/wiki/Q3178782,major,wikidata
Q3498017,Stefen Wisniewski,1989-03-22T00:00:00Z,NFL,American football,W/WisnSt01,P3561,https://www.wikidata.org/wiki/Q3498017,major,wikidata
Q3843850,Malcolm Smith,1989-07-05T00:00:00Z,NFL,American football,S/SmitMa02,P3561,https://www.wikidata.org/wiki/Q3843850,major,wikidata
Q4108577,Lin Elliott,1968-11-11T00:00:00Z,NFL,American football,E/elliolin01,P3561,https://www.wikidata.org/wiki/Q4108577,major,wikidata
Q4557275,Warrick Holdman,1975-11-22T00:00:00Z,NFL,American football,H/HoldWa20,P3561,https://www.wikidata.org/wiki/Q4557275,major,wikidata
Q4760881,Andy Katzenmoyer,1977-12-02T00:00:00Z,NFL,American football,K/KatzAn20,P3561,https://www.wikidata.org/wiki/Q4760881,major,wikidata
Q4846812,Cory Fleming,1971-03-19T00:00:00Z,NFL,American football,F/FlemCo20,P3561,https://www.wikidata.org/wiki/Q4846812,major,wikidata
Q4909505,Bill Hudson,1935-07-09T00:00:00Z,NFL,American football,H/HudsBi00,P3561,https://www.wikidata.org/wiki/Q4909505,major,wikidata
Q4932627,Bob Gruber,1958-06-07T00:00:00Z,NFL,American football,G/GrubBo20,P3561,https://www.wikidata.org/wiki/Q4932627,major,wikidata
Q4972963,Broderick Thompson,1960-08-14T00:00:00Z,NFL,American football,T/ThomBr22,P3561,https://www.wikidata.org/wiki/Q4972963,major,wikidata
Q4982908,Buck Ortega,1981-09-22T00:00:00Z,NFL,American football,O/OrteBu00,P3561,https://www.wikidata.org/wiki/Q4982908,major,wikidata
Q5116035,Chukky Okobi,1978-11-18T00:00:00Z,NFL,American football,O/OkobCh20,P3561,https://www.wikidata.org/wiki/Q5116035,major,wikidata
Q5181417,Craig Sauer,1972-12-13T00:00:00Z,NFL,American football,S/SaueCr20,P3561,https://www.wikidata.org/wiki/Q5181417,major,wikidata
Q5225461,Darryl Stingley,1951-09-18T00:00:00Z,NFL,American football,S/StinDa00,P3561,https://www.wikidata.org/wiki/Q5225461,major,wikidata
Q5263035,Derrick Hoskins,1970-11-14T00:00:00Z,NFL,American football,H/HoskDe20,P3561,https://www.wikidata.org/wiki/Q5263035,major,wikidata
Q5268174,Dewey Bohling,1938-08-22T00:00:00Z,NFL,American football,B/BohlDe00,P3561,https://www.wikidata.org/wiki/Q5268174,major,wikidata
Q5335392,Ed Sharockman,1939-11-04T00:00:00Z,NFL,American football,S/SharEd21,P3561,https://www.wikidata.org/wiki/Q5335392,major,wikidata
Q5386002,Eric Alexander,1982-02-08T00:00:00Z,NFL,American football,A/AlexEr20,P3561,https://www.wikidata.org/wiki/Q5386002,major,wikidata
Q6200490,Jimmy Jones,1941-03-03T00:00:00Z,NFL,American football,J/JoneJi01,P3561,https://www.wikidata.org/wiki/Q6200490,major,wikidata
Q6387385,Ken Brown,1954-04-19T00:00:00Z,NFL,American football,B/BrowKe22,P3561,https://www.wikidata.org/wiki/Q6387385,major,wikidata
Q6456380,L. C. Greenwood,1946-09-08T00:00:00Z,NFL,American football,G/GreeL.00,P3561,https://www.wikidata.org/wiki/Q6456380,major,wikidata
Q6483550,Lance Smith,1963-01-01T00:00:00Z,NFL,American football,S/SmitLa20,P3561,https://www.wikidata.org/wiki/Q6483550,major,wikidata
Q6490841,Larry Mucker,1954-08-15T00:00:00Z,NFL,American football,M/MuckLa00,P3561,https://www.wikidata.org/wiki/Q6490841,major,wikidata
Q6778071,Marv Cook,1966-02-24T00:00:00Z,NFL,American football,C/CookMa00,P3561,https://www.wikidata.org/wiki/Q6778071,major,wikidata
Q6831614,Michael Jasper,1986-10-08T00:00:00Z,NFL,American football,J/JaspMi00,P3561,https://www.wikidata.org/wiki/Q6831614,major,wikidata
Q7027210,Nick Graham,1984-01-19T00:00:00Z,NFL,American football,G/GrahNi99,P3561,https://www.wikidata.org/wiki/Q7027210,major,wikidata
Q7172152,Pete Metzelaars,1960-05-24T00:00:00Z,NFL,American football,M/MetzPe00,P3561,https://www.wikidata.org/wiki/Q7172152,major,wikidata
Q7299090,Raymond Radway,1987-07-05T00:00:00Z,NFL,American football,R/RadwRa00,P3561,https://www.wikidata.org/wiki/Q7299090,major,wikidata
Q7328199,Richard Osborne,1953-10-31T00:00:00Z,NFL,American football,O/OsboRi00,P3561,https://www.wikidata.org/wiki/Q7328199,major,wikidata
Q7377570,Rudy Andabaker,1928-08-01T00:00:00Z,NFL,American football,A/AndaRu20,P3561,https://www.wikidata.org/wiki/Q7377570,major,wikidata
Q7436632,Scott Kooistra,1980-10-14T00:00:00Z,NFL,American football,K/KooiSc20,P3561,https://www.wikidata.org/wiki/Q7436632,major,wikidata
Q7537852,Skyler Green,1984-09-12T00:00:00Z,NFL,American football,G/GreeSk20,P3561,https://www.wikidata.org/wiki/Q7537852,major,wikidata
Q7611881,Steve Bartalo,1964-07-15T00:00:00Z,NFL,American football,B/BartSt01,P3561,https://www.wikidata.org/wiki/Q7611881,major,wikidata
Q7804463,Tim Webster,1949-09-11T00:00:00Z,NFL,American football,W/WebsTi20,P3561,https://www.wikidata.org/wiki/Q7804463,major,wikidata
Q7821967,Tony Brown,1970-05-15T00:00:00Z,NFL,American football,B/BrowTo24,P3561,https://www.wikidata.org/wiki/Q7821967,major,wikidata
Q7822481,Tony Graziani,1973-12-23T00:00:00Z,NFL,American football,G/GrazTo00,P3561,https://www.wikidata.org/wiki/Q7822481,major,wikidata
Q7823435,Tony Smith,1970-06-29T00:00:00Z,NFL,American football,S/SmitTo00,P3561,https://www.wikidata.org/wiki/Q7823435,major,wikidata
Q16013901,Denver Mills,1925-08-29T00:00:00Z,NFL,American football,M/MillDe20,P3561,https://www.wikidata.org/wiki/Q16013901,major,wikidata
Q16137445,Sam Scarber,1949-06-24T00:00:00Z,NFL,American football,S/ScarSa00,P3561,https://www.wikidata.org/wiki/Q16137445,major,wikidata
Q16194472,Joe Carter,1962-06-23T00:00:00Z,NFL,American football,C/CartJo00,P3561,https://www.wikidata.org/wiki/Q16194472,major,wikidata
Q17465892,Deron Mayo,1988-03-28T00:00:00Z,NFL,American football,M/MayoDe00,P3561,https://www.wikidata.org/wiki/Q17465892,major,wikidata
Q17488202,Billy Anderson,1929-03-03T00:00:00Z,NFL,American football,A/AndeBi01,P3561,https://www.wikidata.org/wiki/Q17488202,major,wikidata
Q17514308,Jimmy Tays,1899-03-10T00:00:00Z,NFL,American football,T/TaysJi20,P3561,https://www.wikidata.org/wiki/Q17514308,major,wikidata
Q18159231,Mike Witteck,1964-02-21T00:00:00Z,NFL,American football,W/WittMi20,P3561,https://www.wikidata.org/wiki/Q18159231,major,wikidata
Q19519619,Mike Ozdowski,1955-09-24T00:00:00Z,NFL,American football,O/OzdoMi20,P3561,https://www.wikidata.org/wiki/Q19519619,major,wikidata
Q22004861,Ken Hebert,1942-12-09T00:00:00Z,NFL,American football,H/HebeKe20,P3561,https://www.wikidata.org/wiki/Q22004861,major,wikidata
Q22947779,Harry Marker,1910-09-17T00:00:00Z,NFL,American football,M/MarkHa20,P3561,https://www.wikidata.org/wiki/Q22947779,major,wikidata
Q23887929,Sale Isaia,1972-06-13T00:00:00Z,NFL,American football,I/IsaiSa20,P3561,https://www.wikidata.org/wiki/Q23887929,major,wikidata
Q24007169,Taveze Calhoun,1992-12-26T00:00:00Z,NFL,American football,C/CalhTa01,P3561,https://www.wikidata.org/wiki/Q24007169,major,wikidata
Q27064018,Gabe Martin,1992-06-05T00:00:00Z,NFL,American football,M/MartGa00,P3561,https://www.wikidata.org/wiki/Q27064018,major,wikidata
Q27306743,George Fant,1992-07-19T00:00:00Z,NFL,American football,F/FantGe00,P3561,https://www.wikidata.org/wiki/Q27306743,major,wikidata
Q27830819,Maurice Harris,1992-11-11T00:00:00Z,NFL,American football,H/HarrMa05,P3561,https://www.wikidata.org/wiki/Q27830819,major,wikidata
Q47006467,Keke Coutee,1997-01-14T00:00:00Z,NFL,American football,C/CoutKe00,P3561,https://www.wikidata.org/wiki/Q47006467,major,wikidata
Q52288128,Cole Madison,1994-12-20T00:00:00Z,NFL,American football,M/MadiCo01,P3561,https://www.wikidata.org/wiki/Q52288128,major,wikidata
Q57585753,Mitchell Brookins,1960-12-10T00:00:00Z,NFL,American football,B/BrooMi00,P3561,https://www.wikidata.org/wiki/Q57585753,major,wikidata
Q60195480,'Omar Ellison,1971-10-08T00:00:00Z,NFL,American football,E/ElliOm20,P3561,https://www.wikidata.org/wiki/Q60195480,major,wikidata
Q63367704,Kaden Elliss,1995-07-10T00:00:00Z,NFL,American football,E/ElliKa00,P3561,https://www.wikidata.org/wiki/Q63367704,major,wikidata
Q71332543,Bucky Greeley,1972-07-30T00:00:00Z,NFL,American football,G/GreeBu20,P3561,https://www.wikidata.org/wiki/Q71332543,major,wikidata
Q91917805,Logan Stenberg,1997-03-18T00:00:00Z,NFL,American football,S/StenLo00,P3561,https://www.wikidata.org/wiki/Q91917805,major,wikidata
Q95595439,John Kuzman,1915-06-29T00:00:00Z,NFL,American football,K/KuzmJo20,P3561,https://www.wikidata.org/wiki/Q95595439,major,wikidata
Q96342185,Ar'Darius Washington,1999-11-02T00:00:00Z,NFL,American football,W/WashAr00,P3561,https://www.wikidata.org/wiki/Q96342185,major,wikidata
Q99616633,Joe Tryon-Shoyinka,1999-04-30T00:00:00Z,NFL,American football,T/TryoJo00,P3561,https://www.wikidata.org/wiki/Q99616633,major,wikidata
Q102351709,Jackson Carman,2000-01-22T00:00:00Z,NFL,American football,C/CarmJa00,P3561,https://www.wikidata.org/wiki/Q102351709,major,wikidata
Q104868367,Spencer Brown,1998-02-28T00:00:00Z,NFL,American football,B/BrowSp00,P3561,https://www.wikidata.org/wiki/Q104868367,major,wikidata
Q108050017,Anthony West,1988-03-29T00:00:00Z,NFL,American football,W/WestAn00,P3561,https://www.wikidata.org/wiki/Q108050017,major,wikidata
Q108050096,Randy Hall,1952-02-08T00:00:00Z,NFL,American football,H/HallRa20,P3561,https://www.wikidata.org/wiki/Q108050096,major,wikidata
Q108050894,Jabari Ruffin,1994-09-14T00:00:00Z,NFL,American football,R/RuffJa01,P3561,https://www.wikidata.org/wiki/Q108050894,major,wikidata
Q108051005,Ed Koontz,1946-06-11T00:00:00Z,NFL,American football,K/KoonEd20,P3561,https://www.wikidata.org/wiki/Q108051005,major,wikidata
Q108051359,Bucky White,1962-11-24T00:00:00Z,NFL,American football,W/WhitBu21,P3561,https://www.wikidata.org/wiki/Q108051359,major,wikidata
Q108051376,King Simmons,1963-02-12T00:00:00Z,NFL,American football,S/SimmKi20,P3561,https://www.wikidata.org/wiki/Q108051376,major,wikidata
Q108051460,Laron Brown,1962-06-03T00:00:00Z,NFL,American football,B/BrowLa21,P3561,https://www.wikidata.org/wiki/Q108051460,major,wikidata
Q108051761,James Brim,1963-02-28T00:00:00Z,NFL,American football,B/BrimJa20,P3561,https://www.wikidata.org/wiki/Q108051761,major,wikidata
Q108051901,Chris Brown,1993-12-08T00:00:00Z,NFL,American football,B/BrowCh07,P3561,https://www.wikidata.org/wiki/Q108051901,major,wikidata
Q108052114,Ladarius Hamilton,1998-01-18T00:00:00Z,NFL,American football,H/HamiLa01,P3561,https://www.wikidata.org/wiki/Q108052114,major,wikidata
Q108052225,Jamie Cumbie,1988-02-18T00:00:00Z,NFL,American football,C/CumbJa00,P3561,https://www.wikidata.org/wiki/Q108052225,major,wikidata
Q108052237,Anthony McCloud,1989-08-06T00:00:00Z,NFL,American football,M/McClAn02,P3561,https://www.wikidata.org/wiki/Q108052237,major,wikidata
